Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-01 00:00:00,7165.72,7218.42,7136.05,7197.31,1232.20352278,NO_PATTERN,NO_PATTERN
2020-01-01 06:00:00,7197.31,7215.0,7158.19,7174.26,458.27680119,NO_PATTERN,NO_PATTERN
2020-01-01 12:00:00,7174.27,7238.14,7174.27,7218.01,686.07740838,NO_PATTERN,NO_PATTERN
2020-01-01 18:00:00,7218.0,7229.37,7150.0,7174.33,967.59860139,NO_PATTERN,NO_PATTERN
2020-01-02 00:00:00,7174.33,7186.18,7089.0,7108.03,1324.7741574,NO_PATTERN,NO_PATTERN
2020-01-02 06:00:00,7108.04,7156.65,7074.09,7120.0,764.36228955,NO_PATTERN,NO_PATTERN
2020-01-02 12:00:00,7117.78,7140.81,6903.0,6942.4,3901.70298552,NO_PATTERN,NO_PATTERN
2020-01-02 18:00:00,6942.4,6976.17,6924.75,6945.02,1956.83878434,NO_PATTERN,NO_PATTERN
2020-01-03 00:00:00,6945.02,7281.24,6854.67,7203.04,4384.27939152,NO_PATTERN,NO_PATTERN
2020-01-03 06:00:00,7203.04,7361.7,7176.07,7327.64,2974.38704941,NO_PATTERN,NO_PATTERN
2020-01-03 12:00:00,7327.64,7401.2,7227.78,7353.04,4011.27932105,NO_PATTERN,NO_PATTERN
2020-01-03 18:00:00,7353.04,7363.28,7250.0,7334.45,2609.16174813,NO_PATTERN,NO_PATTERN
2020-01-04 00:00:00,7334.45,7359.99,7277.34,7333.94,951.17307487,DOJI,Neutral
2020-01-04 06:00:00,7333.95,7357.39,7292.02,7326.61,560.08981887,DOJI,Neutral
2020-01-04 12:00:00,7326.61,7339.31,7280.5,7339.3,855.55636391,HAMMER,Neutral
2020-01-04 18:00:00,7339.31,7398.0,7263.32,7348.63,2364.93892505,DOJI,Neutral
2020-01-05 00:00:00,7348.63,7488.87,7348.62,7454.73,2602.77575719,NO_PATTERN,NO_PATTERN
2020-01-05 06:00:00,7454.8,7478.24,7396.36,7423.92,1170.7838608700001,NO_PATTERN,NO_PATTERN
2020-01-05 12:00:00,7423.85,7479.52,7411.11,7461.16,737.93507926,ENGULFING,Bullish
2020-01-05 18:00:00,7461.17,7463.0,7312.22,7355.4,1404.49995642,ENGULFING,Bearish
