Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-01 00:00:00,7165.72,7165.72,7136.05,7150.35,250.84981195,NO_PATTERN,NO_PATTERN
2020-01-01 01:00:00,7149.26,7204.94,7147.18,7194.52,230.17120242000001,NO_PATTERN,NO_PATTERN
2020-01-01 02:00:00,7194.52,7218.42,7191.44,7217.0,189.93790294000001,NO_PATTERN,NO_PATTERN
2020-01-01 03:00:00,7217.0,7217.0,7193.34,7196.98,234.73978059,NO_PATTERN,NO_PATTERN
2020-01-01 04:00:00,7196.99,7200.62,7183.85,7186.41,205.90872906,NO_PATTERN,NO_PATTERN
2020-01-01 05:00:00,7186.4,7199.0,7183.85,7197.31,120.59609582,ENGULFING,Bullish
2020-01-01 06:00:00,7197.31,7207.87,7197.31,7201.46,128.24591861000002,NO_PATTERN,NO_PATTERN
2020-01-01 07:00:00,7201.3,7209.15,7175.0,7185.91,53.599802509999996,NO_PATTERN,NO_PATTERN
2020-01-01 08:00:00,7185.9,7185.91,7158.19,7181.99,71.49745551,NO_PATTERN,NO_PATTERN
2020-01-01 09:00:00,7181.99,7189.53,7170.01,7170.01,53.71043183,NO_PATTERN,NO_PATTERN
2020-01-01 10:00:00,7170.01,7187.55,7170.01,7182.33,31.27827458,NO_PATTERN,NO_PATTERN
2020-01-01 11:00:00,7182.33,7215.0,7168.45,7174.26,119.94491814999999,NO_PATTERN,NO_PATTERN
2020-01-01 12:00:00,7174.27,7206.82,7174.27,7206.82,63.82391835,NO_PATTERN,NO_PATTERN
2020-01-01 13:00:00,7206.82,7210.84,7197.93,7200.4,60.01184369,NO_PATTERN,NO_PATTERN
2020-01-01 14:00:00,7200.01,7215.0,7188.91,7199.03,78.08757791,DOJI,Neutral
2020-01-01 15:00:00,7199.03,7238.14,7196.43,7214.31,198.12448662,NO_PATTERN,NO_PATTERN
2020-01-01 16:00:00,7213.34,7225.0,7195.02,7223.86,161.49997969999998,NO_PATTERN,NO_PATTERN
2020-01-01 17:00:00,7224.99,7231.27,7204.96,7218.01,124.52960211,NO_PATTERN,NO_PATTERN
2020-01-01 18:00:00,7218.0,7229.37,7205.69,7218.3,222.31596403,DOJI,Neutral
2020-01-01 19:00:00,7218.3,7218.31,7199.61,7207.07,167.18158325,NO_PATTERN,NO_PATTERN
2020-01-01 20:00:00,7207.06,7221.92,7200.0,7215.85,90.85722726,NO_PATTERN,NO_PATTERN
2020-01-01 21:00:00,7215.85,7222.6,7204.53,7213.12,139.75419491,DOJI,Neutral
2020-01-01 22:00:00,7216.2,7217.0,7163.91,7177.01,198.44105178,NO_PATTERN,NO_PATTERN
2020-01-01 23:00:00,7177.01,7177.58,7150.0,7174.33,149.04858016,DRAGONFLYDOJI,Neutral
