Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-01 00:00:00,7165.72,7238.14,7136.05,7174.33,3344.15633374,NO_PATTERN,NO_PATTERN
2020-01-02 00:00:00,7174.33,7186.18,6903.0,6945.02,7947.67821681,NO_PATTERN,NO_PATTERN
2020-01-03 00:00:00,6945.02,7401.2,6854.67,7334.45,13979.10751011,NO_PATTERN,NO_PATTERN
2020-01-04 00:00:00,7334.45,7398.0,7263.32,7348.63,4731.7581827,NO_PATTERN,NO_PATTERN
2020-01-05 00:00:00,7348.63,7488.87,7312.22,7355.4,5915.99465374,NO_PATTERN,NO_PATTERN
2020-01-06 00:00:00,7355.4,7805.0,7343.17,7764.63,11722.10667739,NO_PATTERN,NO_PATTERN
2020-01-07 00:00:00,7764.63,8216.0,7723.0,8158.52,19767.04673843,NO_PATTERN,NO_PATTERN
2020-01-08 00:00:00,8160.01,8469.39,7845.0,8045.51,23894.01875752,NO_PATTERN,NO_PATTERN
2020-01-09 00:00:00,8047.75,8048.67,7744.48,7813.78,9446.05277544,NO_PATTERN,NO_PATTERN
2020-01-10 00:00:00,7813.78,8199.77,7671.0,8198.09,13408.77280924,NO_PATTERN,NO_PATTERN
2020-01-11 00:00:00,8198.09,8290.0,8000.01,8020.0,7545.34035985,NO_PATTERN,NO_PATTERN
2020-01-12 00:00:00,8017.47,8185.0,7963.25,8180.81,3908.22851772,NO_PATTERN,NO_PATTERN
2020-01-13 00:00:00,8180.81,8195.81,8041.95,8104.5,6635.83349158,NO_PATTERN,NO_PATTERN
2020-01-14 00:00:00,8105.6,8893.69,8105.23,8815.69,26822.72040799,NO_PATTERN,NO_PATTERN
2020-01-15 00:00:00,8812.58,8900.0,8550.0,8808.81,14927.9930841,HARAMI,Bear
2020-01-16 00:00:00,8808.81,8850.0,8580.0,8714.76,9226.67041109,NO_PATTERN,NO_PATTERN
2020-01-17 00:00:00,8714.77,9013.0,8665.67,8899.42,15401.45541168,NO_PATTERN,NO_PATTERN
2020-01-18 00:00:00,8899.42,8980.0,8800.1,8909.32,5585.31539429,DOJI,Neutral
2020-01-19 00:00:00,8908.95,9194.99,8465.0,8697.53,15163.341863759999,NO_PATTERN,NO_PATTERN
2020-01-20 00:00:00,8697.53,8734.84,8504.06,8628.89,5578.18316514,NO_PATTERN,NO_PATTERN
2020-01-21 00:00:00,8628.89,8774.31,8465.0,8722.03,7504.66563751,NO_PATTERN,NO_PATTERN
2020-01-22 00:00:00,8722.03,8791.76,8565.0,8660.38,5470.55398971,NO_PATTERN,NO_PATTERN
2020-01-23 00:00:00,8660.38,8665.0,8278.0,8385.22,12160.45991954,NO_PATTERN,NO_PATTERN
2020-01-24 00:00:00,8385.21,8509.99,8216.71,8427.26,8604.69029091,NO_PATTERN,NO_PATTERN
2020-01-25 00:00:00,8427.58,8437.76,8252.73,8326.81,3779.12376975,ENGULFING,Bearish
2020-01-26 00:00:00,8326.8,8594.0,8278.68,8586.72,5463.82808339,ENGULFING,Bullish
2020-01-27 00:00:00,8595.0,8985.0,8556.6,8895.96,9511.59391721,NO_PATTERN,NO_PATTERN
2020-01-28 00:00:00,8895.95,9418.91,8880.87,9394.5,17536.42679585,NO_PATTERN,NO_PATTERN
2020-01-29 00:00:00,9391.14,9439.83,9224.75,9288.44,12201.47216326,HARAMI,Bearish
2020-01-30 00:00:00,9287.9,9574.68,9171.11,9503.08,12942.27195219,ENGULFING,Bullish
2020-01-31 00:00:00,9502.71,9522.5,9195.49,9334.98,9694.26285691,HARAMI,Bearish
2020-02-01 00:00:00,9334.98,9458.08,9285.01,9380.18,4373.19393607,NO_PATTERN,NO_PATTERN
2020-02-02 00:00:00,9380.18,9480.0,9140.0,9323.5,7292.53086102,NO_PATTERN,NO_PATTERN
2020-02-03 00:00:00,9325.01,9619.95,9220.0,9280.49,11890.07079375,NO_PATTERN,NO_PATTERN
2020-02-04 00:00:00,9280.49,9350.0,9078.05,9164.33,8179.81961734,NO_PATTERN,NO_PATTERN
2020-02-05 00:00:00,9164.33,9769.7,9150.0,9613.82,13242.05054489,NO_PATTERN,NO_PATTERN
2020-02-06 00:00:00,9613.91,9857.0,9521.47,9763.01,12626.90745528,NO_PATTERN,NO_PATTERN
2020-02-07 00:00:00,9763.01,9885.0,9713.99,9808.05,8502.59131702,NO_PATTERN,NO_PATTERN
2020-02-08 00:00:00,9807.92,9955.0,9653.47,9905.64,8088.8222609,NO_PATTERN,NO_PATTERN
2020-02-09 00:00:00,9905.64,10178.91,9888.76,10168.35,9556.390660860001,NO_PATTERN,NO_PATTERN
2020-02-10 00:00:00,10168.36,10199.0,9736.0,9851.78,13232.98948476,ENGULFING,Bearish
2020-02-11 00:00:00,9851.78,10400.0,9706.0,10270.01,16679.84665341,NO_PATTERN,NO_PATTERN
2020-02-12 00:00:00,10270.01,10483.86,10250.0,10351.13,13721.93226368,NO_PATTERN,NO_PATTERN
2020-02-13 00:00:00,10351.13,10522.51,10083.1,10236.49,17046.19962653,NO_PATTERN,NO_PATTERN
2020-02-14 00:00:00,10236.49,10395.66,10102.5,10371.33,8007.48846769,NO_PATTERN,NO_PATTERN
2020-02-15 00:00:00,10371.33,10400.0,9750.0,9911.22,12304.9164161,NO_PATTERN,NO_PATTERN
2020-02-16 00:00:00,9911.22,10048.34,9612.12,9921.0,9397.73664461,DOJI,Neutral
2020-02-17 00:00:00,9920.52,9969.38,9467.0,9700.0,10131.72196421,NO_PATTERN,NO_PATTERN
2020-02-18 00:00:00,9700.0,10298.25,9610.27,10188.04,11588.22834112,NO_PATTERN,NO_PATTERN
2020-02-19 00:00:00,10188.04,10315.0,9280.98,9600.08,16598.697933120002,NO_PATTERN,NO_PATTERN
2020-02-20 00:00:00,9593.48,9698.1,9393.39,9610.05,12344.4401931,DOJI,Neutral
2020-02-21 00:00:00,9610.05,9769.66,9566.98,9695.66,7058.02289491,NO_PATTERN,NO_PATTERN
2020-02-22 00:00:00,9695.66,9722.97,9575.01,9668.23,3297.84608077,HAMMER,Neutral
2020-02-23 00:00:00,9668.23,10025.66,9667.13,9965.01,5616.33848799,NO_PATTERN,NO_PATTERN
2020-02-24 00:00:00,9965.0,10030.0,9474.74,9660.0,11248.46011785,NO_PATTERN,NO_PATTERN
2020-02-25 00:00:00,9660.0,9681.56,9230.0,9305.0,9204.68607057,NO_PATTERN,NO_PATTERN
2020-02-26 00:00:00,9304.99,9375.36,8602.0,8778.3,21573.8845489,NO_PATTERN,NO_PATTERN
2020-02-27 00:00:00,8778.3,8972.92,8520.0,8812.49,14751.07942733,DOJI,Neutral
2020-02-28 00:00:00,8814.9,8899.94,8428.8,8708.89,13615.6085425,ENGULFING,Bearish
2020-02-29 00:00:00,8708.61,8799.0,8520.67,8525.07,5122.86186457,NO_PATTERN,NO_PATTERN
2020-03-01 00:00:00,8523.33,8752.34,8400.0,8522.31,7333.4289377000005,DOJI,Neutral
2020-03-02 00:00:00,8522.3,8973.45,8487.33,8915.0,10191.37068185,3LINESTRIKE,Bear
2020-03-03 00:00:00,8919.21,8927.45,8635.31,8757.84,9143.86668218,NO_PATTERN,NO_PATTERN
2020-03-04 00:00:00,8757.83,8847.0,8670.57,8760.66,5678.2125312,DOJI,Neutral
2020-03-05 00:00:00,8759.99,9174.24,8759.99,9070.17,10021.40117857,NO_PATTERN,NO_PATTERN
2020-03-06 00:00:00,9070.18,9182.08,9000.01,9158.51,6414.81412966,NO_PATTERN,NO_PATTERN
2020-03-07 00:00:00,9158.51,9214.67,8850.47,8901.37,6470.25708588,EVENINGSTAR,Neutral
2020-03-08 00:00:00,8901.36,8901.37,8002.2,8037.76,16587.4997837,NO_PATTERN,NO_PATTERN
2020-03-09 00:00:00,8037.73,8187.03,7630.0,7934.52,25390.77063788,NO_PATTERN,NO_PATTERN
